item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,gender,genderLabel,dob,dobPrecision,psid
Q405017,Aileen Campbell,Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",2018-06-26T00:00:00Z,2021-05-20T00:00:00Z,,,,Q524077,Angela Constance,Q444675,Shona Robison,,,,,,Q6581072,female,1980-05-18T00:00:00Z,11,Q405017-5fa9a367-4552-c01b-9417-6c453b61047d
Q405017,Aileen Campbell,Q6865944,Minister for Public Health,2016-05-18T00:00:00Z,2018-06-26T00:00:00Z,,,,Q540381,Maureen Watt,Q1612012,Joe FitzPatrick,,,,,,Q6581072,female,1980-05-18T00:00:00Z,11,Q405017-c295f14f-4c05-7d2b-2b93-f4740e20edc7
Q559634,Alasdair Allan,Q6865911,"Minister for Further Education, Higher Education and Science",2011-05-20T00:00:00Z,2011-12-07T00:00:00Z,,,,Q524077,Angela Constance,Q559634,Alasdair Allan,,,,,,Q6581097,male,1971-05-06T00:00:00Z,11,Q559634-2A0D5E89-B3BD-4A88-8180-486949872C6E
Q559634,Alasdair Allan,Q6865911,"Minister for Further Education, Higher Education and Science",2011-12-07T00:00:00Z,2016-05-18T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1971-05-06T00:00:00Z,11,Q559634-9429a8bc-4ad1-1d66-5d3a-be588c8b91b7
Q1515752,Alex Neil,Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-F1E25011-7C77-4CCA-91CF-E4F279CF9BB1
Q1515752,Alex Neil,Q16148216,Cabinet Secretary for Health and Wellbeing,2012-09-05T00:00:00Z,2014-11-19T00:00:00Z,,,,Q467112,Nicola Sturgeon,Q444675,Shona Robison,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-A499F7A2-E838-4741-8148-289D487D9D12
Q1515752,Alex Neil,Q30909024,Cabinet Secretary for Infrastructure and Capital Investment,2011-05-19T00:00:00Z,2012-09-05T00:00:00Z,Q2577077,Second Salmond ministry,,,,,,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-b8b44e4e-432e-2966-79b1-6e4b900c823d
Q1515752,Alex Neil,Q6865763,"Cabinet Secretary for Social Justice, Communities and Pensioners' Rights",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581097,male,1951-08-22T00:00:00Z,11,Q1515752-4B8A84B7-E411-4CCB-9D1B-B5B48840EB68
Q10652,Alex Salmond,Q1362216,First Minister of Scotland,2007-05-16T00:00:00Z,2014-11-19T00:00:00Z,,,4,Q132040,Jack McConnell,Q467112,Nicola Sturgeon,,,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-20181669,,,Q6581097,male,1954-12-31T00:00:00Z,11,Q10652-3a551f82-4475-19a9-f95d-4083ed53bfac
Q505043,"Andrew Hardie, Baron Hardie",Q1807003,Lord Advocate,1997-01-01T00:00:00Z,2000-02-01T00:00:00Z,,,,Q1240108,"Donald Mackay, Baron Mackay of Drumadoon",Q1108359,"Colin Boyd, Baron Boyd of Duncansby",,,,,,Q6581097,male,1946-01-08T00:00:00Z,11,Q505043-BDB37621-EDA6-4629-BA81-FE54DAB036F6
Q4758462,"Andrew Rutherfurd, Lord Rutherfurd",Q1807003,Lord Advocate,,,,,,,,,,,,,,,Q6581097,male,1791-01-01T00:00:00Z,9,Q4758462-e6680c5a-47a6-9be3-9836-2c730a029616
Q526409,Andy Kerr,Q30864809,Minister for Finance and Public Services,2001-11-22T00:00:00Z,2003-03-27T00:00:00Z,Q3112282,First McConnell ministry,,,,,,,,,,,Q6581097,male,1962-03-17T00:00:00Z,11,Q526409-73880445-4997-7f5b-42a1-90bfb2160495
Q526409,Andy Kerr,Q30864809,Minister for Finance and Public Services,2003-05-20T00:00:00Z,2004-10-04T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,Q7816757,Tom McCabe,,,,,,Q6581097,male,1962-03-17T00:00:00Z,11,Q526409-bebee370-4ac5-ad4d-2fa0-a50be56f005c
Q526409,Andy Kerr,Q30768665,Minister for Health and Community Care,2004-10-06T00:00:00Z,2007-05-16T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q1886983,Malcolm Chisholm,,,,,,,,Q6581097,male,1962-03-17T00:00:00Z,11,Q526409-5d358787-47dd-84c7-32d1-8a3257e43d44
Q524077,Angela Constance,Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",2016-05-18T00:00:00Z,2018-06-26T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,Q1515752,Alex Neil,Q405017,Aileen Campbell,,,,,,Q6581072,female,1970-07-15T00:00:00Z,11,Q524077-2CA6CE9B-A7A3-41A9-A8F3-446A5C883D03
Q524077,Angela Constance,Q5015475,Cabinet Secretary for Education and Lifelong Learning,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,Q1929110,Michael Russell,Q333811,John Swinney,,,,,,Q6581072,female,1970-07-15T00:00:00Z,11,Q524077-a5f4853d-43f7-a8e6-809c-0e00a3da0d1a
Q524077,Angela Constance,Q30909593,"Cabinet Secretary for Training, Youth and Womenâ€™s Employment",2014-04-22T00:00:00Z,2014-11-19T00:00:00Z,,,,,,Q333953,Roseanna Cunningham,,,,,,Q6581072,female,1970-07-15T00:00:00Z,11,Q524077-5be48187-46e6-6b4c-2596-9dde85aeea4c
Q524077,Angela Constance,Q6865911,"Minister for Further Education, Higher Education and Science",2010-12-12T00:00:00Z,2011-05-20T00:00:00Z,,,,Q1738042,Keith Brown,Q559634,Alasdair Allan,,,,,,Q6581072,female,1970-07-15T00:00:00Z,11,Q524077-21E49CD6-19A0-4A14-8F7F-090C6C1218DE
Q544484,Angus MacKay,Q30776391,Minister for Finance and Local Government,2000-10-27T00:00:00Z,2001-11-08T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581097,male,1964-01-01T00:00:00Z,10,Q544484-788a2520-42dd-06c0-15aa-f8fcd92fe367
Q480184,Angus Robertson,Q107694326,"Cabinet Secretary for the Constitution, External Affairs and Culture",2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581097,male,1969-09-28T00:00:00Z,11,Q480184-133A4985-9C90-4A5D-B620-1CE6DF57AE85
Q564093,Annabelle Ewing,Q6865773,Minister for Community Safety and Legal Affairs,2016-05-18T00:00:00Z,2018-06-26T00:00:00Z,,,,,,,,,,,,,Q6581072,female,1960-08-20T00:00:00Z,11,Q564093-B03DAB7A-E73A-4296-8E7D-C4256B911C14
Q564093,Annabelle Ewing,Q20042662,Minister for Employability and Training,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,,,,Q524077,Angela Constance,Q1681399,Jamie Hepburn,,,,,,Q6581072,female,1960-08-20T00:00:00Z,11,Q564093-0E3B3ADC-B6AA-43A7-A37E-C8EC07175277
Q570298,Brian Adam,Q16933965,Minister for Parliamentary Business,2011-05-25T00:00:00Z,2012-09-06T00:00:00Z,,,,Q559391,Bruce Crawford,Q1612012,Joe FitzPatrick,,,,,,Q6581097,male,1948-06-10T00:00:00Z,11,Q570298-455FEF4B-A018-493D-A61B-48689C5873C8
Q559391,Bruce Crawford,Q30886611,Cabinet Secretary for Parliamentary Business and Government Strategy,2011-05-19T00:00:00Z,2012-09-05T00:00:00Z,Q2577077,Second Salmond ministry,,,,Q467112,Nicola Sturgeon,,,,,,Q6581097,male,1955-02-16T00:00:00Z,11,Q559391-802D6F74-1802-4903-8AAE-B8CA45FA7E53
Q559391,Bruce Crawford,Q16933965,Minister for Parliamentary Business,2007-05-17T00:00:00Z,2011-05-19T00:00:00Z,,,,Q291748,Margaret Curran,Q570298,Brian Adam,,,,,,Q6581097,male,1955-02-16T00:00:00Z,11,Q559391-A24D3588-B634-4C69-AD0F-ED816B0A74A8
Q727460,Cathy Jamieson,Q30864059,Minister for Education and Young People,2001-11-22T00:00:00Z,2003-05-20T00:00:00Z,Q3112282,First McConnell ministry,,,,,,,,,,,Q6581072,female,1956-11-03T00:00:00Z,11,Q727460-e79c37ef-4280-057b-bc66-8acb0bcb8261
Q727460,Cathy Jamieson,Q30770915,Minister for Justice,2003-05-20T00:00:00Z,2007-05-18T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,,,,,,,,Q6581072,female,1956-11-03T00:00:00Z,11,Q727460-7141b396-47b6-58f7-8ae5-94f35d064c79
Q5075367,"Charles Baillie, Lord Jerviswoode",Q1807003,Lord Advocate,1858-07-10T00:00:00Z,1859-04-01T00:00:00Z,,,,,,,,,,https://www.thegazette.co.uk/London/issue/22161/page/3249,,,Q6581097,male,1804-11-03T00:00:00Z,11,Q5075367-581692d5-4467-9b9a-0e3a-befc45d4ed21
Q1108359,"Colin Boyd, Baron Boyd of Duncansby",Q1807003,Lord Advocate,2000-02-24T00:00:00Z,2006-10-04T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1953-06-07T00:00:00Z,11,Q1108359-bf08c4bd-42c0-b278-b259-3a04cbfd1c1c
Q1200058,Derek Mackay,Q30762819,Cabinet Secretary for Finance and the Constitution,2016-05-18T00:00:00Z,2020-02-06T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,,,,,,,https://www.theguardian.com/uk-news/2020/feb/06/derek-mackays-resignation-may-derail-snps-policy-agenda,,,Q6581097,male,1977-07-30T00:00:00Z,11,Q1200058-65f40fde-4738-ccd3-226b-53f4a392c3af
Q333158,Donald Dewar,Q1362216,First Minister of Scotland,1999-05-13T00:00:00Z,2000-10-11T00:00:00Z,,,1,,,Q333807,"Jim Wallace, Baron Wallace of Tankerness",,,http://www.bbc.com/news/uk-scotland-scotland-politics-20181669,,,Q6581097,male,1937-08-21T00:00:00Z,11,Q333158-07483c34-4462-869a-d6cf-775091c8ba2b
Q1240108,"Donald Mackay, Baron Mackay of Drumadoon",Q1807003,Lord Advocate,1995-01-01T00:00:00Z,1997-01-01T00:00:00Z,,,,,,,,,,http://www.heraldscotland.com/business_hq/opinion/16598185.obituary-donald-sage-mackay-former-lord-advocate-and-judge-of-the-supreme-courts/,,,Q6581097,male,1946-01-30T00:00:00Z,11,Q1240108-0CDDB99D-F250-456D-943A-36534067EB8E
Q1240108,"Donald Mackay, Baron Mackay of Drumadoon",Q1807003,Lord Advocate,1995-01-01T00:00:00Z,1997-01-01T00:00:00Z,,,,,,,,,,http://www.heraldscotland.com/business_hq/opinion/16598185.obituary-donald-sage-mackay-former-lord-advocate-and-judge-of-the-supreme-courts/,,,Q6581097,male,1946-01-03T00:00:00Z,11,Q1240108-0CDDB99D-F250-456D-943A-36534067EB8E
Q5361723,Elish Angiolini,Q1807003,Lord Advocate,2006-10-12T00:00:00Z,2011-04-30T00:00:00Z,,,,Q1108359,"Colin Boyd, Baron Boyd of Duncansby",Q5488571,Frank Mulholland,,,,,,Q6581072,female,1960-06-24T00:00:00Z,11,Q5361723-E0A39880-A4C6-487A-ACAD-5613C090D891
Q559022,Fergus Ewing,Q30763620,Cabinet Secretary for the Rural Economy and Connectivity,2016-05-18T00:00:00Z,2021-05-20T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,Q1490268,Richard Lochhead,Q24014894,Mairi Gougeon,,,,,,Q6581097,male,1957-09-23T00:00:00Z,11,Q559022-634e098c-4f22-fcac-7629-733368f1e83b
Q559022,Fergus Ewing,Q6865811,"Minister for Business, Energy and Tourism",2011-05-20T00:00:00Z,2016-05-18T00:00:00Z,,,,Q1689144,Jim Mather,Q2063093,Paul Wheelhouse,,,,,,Q6581097,male,1957-09-23T00:00:00Z,11,Q559022-79AE4D77-17BC-41B2-AC53-F10E89880044
Q559022,Fergus Ewing,Q6865773,Minister for Community Safety and Legal Affairs,2007-05-17T00:00:00Z,2011-05-20T00:00:00Z,,,,Q544698,Johann Lamont,Q333953,Roseanna Cunningham,,,,,,Q6581097,male,1957-09-23T00:00:00Z,11,Q559022-B8EB0FFD-3C22-47AD-AC9D-C084A6C9D182
Q1418512,Fiona Hyslop,Q30887278,Cabinet Secretary for Culture and External Affairs,2011-05-19T00:00:00Z,2014-11-19T00:00:00Z,Q2577077,Second Salmond ministry,,,,,,,,,,,Q6581072,female,1964-08-01T00:00:00Z,11,Q1418512-d598c7a1-4769-206e-e722-a4950690dba7
Q1418512,Fiona Hyslop,Q30887175,"Cabinet Secretary for Culture, Europe and External Affairs",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581072,female,1964-08-01T00:00:00Z,11,Q1418512-716150b1-4efb-05e1-0d66-cc5613a889c9
Q1418512,Fiona Hyslop,Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs",2016-05-18T00:00:00Z,2020-02-17T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,,,,,,,,,,Q6581072,female,1964-08-01T00:00:00Z,11,Q1418512-b8703f79-45c6-c9a0-7753-e14453eaca50
Q1418512,Fiona Hyslop,Q5015475,Cabinet Secretary for Education and Lifelong Learning,2007-05-17T00:00:00Z,2009-12-01T00:00:00Z,Q3112446,Government of the 3rd Scottish Parliament,,Q5931093,Hugh Henry,Q1929110,Michael Russell,,,,,,Q6581072,female,1964-08-01T00:00:00Z,11,Q1418512-5C36BAAD-CE54-461F-9F2A-668D52D08924
Q5881202,"Francis Jeffrey, Lord Jeffrey",Q1807003,Lord Advocate,1830-12-01T00:00:00Z,1834-05-01T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1773-10-23T00:00:00Z,11,Q5881202-5905e94b-47e8-cd75-b656-20a86ab32fb7
Q1443752,Frank McAveety,Q30868914,"Minister for Tourism, Culture and Sport",2003-05-21T00:00:00Z,2004-10-04T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,Q2057182,Patricia Ferguson,,,,,,Q6581097,male,1962-07-27T00:00:00Z,11,Q1443752-ac5eb9bf-4693-515a-b0d3-f6e173f9e893
Q5543250,"George Patton, Lord Glenalmond",Q1807003,Lord Advocate,1866-07-12T00:00:00Z,1867-02-01T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1803-01-01T00:00:00Z,9,Q5543250-c1806870-4a01-73d2-6906-bd6755c95d2b
Q335351,"Henry Dundas, 1st Viscount Melville",Q1807003,Lord Advocate,1775-05-24T00:00:00Z,1783-08-01T00:00:00Z,,,,Q7527468,"Sir James Montgomery, 1st Baronet",Q5720908,Henry Erskine,,,,,,Q6581097,male,1742-04-28T00:00:00Z,11,Q335351-A0C66B76-4807-4BF4-A3B6-7E8EA76FFA1B
Q333820,Henry McLeish,Q1362216,First Minister of Scotland,2000-10-27T00:00:00Z,2001-11-08T00:00:00Z,,,2,Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q333807,"Jim Wallace, Baron Wallace of Tankerness",,,http://www.bbc.com/news/uk-scotland-scotland-politics-20181669,,,Q6581097,male,1948-06-15T00:00:00Z,11,Q333820-43290C59-4512-49DB-BC82-C231A13F1D1E
Q333820,Henry McLeish,Q6865814,Minister for Enterprise and Lifelong Learning,1999-05-17T00:00:00Z,2000-10-26T00:00:00Z,Q3112009,Dewar ministry,,,,Q511689,Wendy Alexander,,,,,,Q6581097,male,1948-06-15T00:00:00Z,11,Q333820-23C23283-77D7-459F-AB89-4254C008FEC1
Q5931093,Hugh Henry,Q30864059,Minister for Education and Young People,2006-11-14T00:00:00Z,2007-05-16T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q5931093,Hugh Henry,,,,,,,,Q6581097,male,1952-02-12T00:00:00Z,11,Q5931093-ebd8c526-44bf-bba9-43c2-989e6a94af56
Q174924,Humza Yousaf,Q107694341,Cabinet Secretary for Health and Social Care,2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581097,male,1985-04-07T00:00:00Z,11,Q174924-C1947D54-3AC9-437D-8A24-C86603E2B99F
Q1421398,Iain Gray,Q30864358,"Minister for Enterprise, Transport and Lifelong Learning",2002-05-09T00:00:00Z,2003-05-20T00:00:00Z,Q3112282,First McConnell ministry,,Q511689,Wendy Alexander,,,,,,,,Q6581097,male,1957-06-07T00:00:00Z,11,Q1421398-40edc8ee-4adc-815d-1f42-fdf550b2c722
Q1421398,Iain Gray,Q30779962,Minister for Social Justice,2001-11-22T00:00:00Z,2002-05-09T00:00:00Z,Q3112282,First McConnell ministry,,,,Q291748,Margaret Curran,,,,,,Q6581097,male,1957-06-07T00:00:00Z,11,Q1421398-ad779d8f-4d6d-7379-8d4d-68bedfd2eaff
Q132040,Jack McConnell,Q5015475,Cabinet Secretary for Education and Lifelong Learning,2000-10-26T00:00:00Z,2001-11-22T00:00:00Z,,,,Q2216457,Sam Galbraith,Q727460,Cathy Jamieson,,,,,,Q6581097,male,1960-06-30T00:00:00Z,11,Q132040-891A0D4E-1418-4DD2-A3B7-921657EB962A
Q132040,Jack McConnell,Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",1999-05-17T00:00:00Z,2000-10-26T00:00:00Z,,,,,,Q544484,Angus MacKay,,,,,,Q6581097,male,1960-06-30T00:00:00Z,11,Q132040-2924D74C-1FF4-4B3D-8B66-9D853EA33613
Q132040,Jack McConnell,Q1362216,First Minister of Scotland,2001-11-22T00:00:00Z,2007-05-16T00:00:00Z,,,3,Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q10652,Alex Salmond,,,http://news.bbc.co.uk/1/hi/in_depth/scotland/2001/mcleish_resignation/1677841.stm,,,Q6581097,male,1960-06-30T00:00:00Z,11,Q132040-895990DF-C28B-464F-AE02-1E34B22B0916
Q132040,Jack McConnell,Q30775634,"Minister for Education, Europe and External Affairs",2000-10-26T00:00:00Z,2001-11-22T00:00:00Z,Q3112283,McLeish ministry,,Q2216457,Sam Galbraith,Q727460,Cathy Jamieson,,,,,,Q6581097,male,1960-06-30T00:00:00Z,11,Q132040-3BEFA187-0062-4CFD-9242-4C35082CFC71
Q132040,Jack McConnell,Q30768476,Minister for Finance,1999-05-17T00:00:00Z,2000-10-26T00:00:00Z,Q3112009,Dewar ministry,,,,Q544484,Angus MacKay,,,,,,Q6581097,male,1960-06-30T00:00:00Z,11,Q132040-1FEC28B1-9471-4A97-AA2D-041CD8D16DF0
Q544729,Jackie Baillie,Q30779962,Minister for Social Justice,2000-10-27T00:00:00Z,2001-11-08T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581072,female,1964-01-15T00:00:00Z,11,Q544729-471d8a3b-425f-01e1-975b-235e15217686
Q336480,"James Mackay, Baron Mackay of Clashfern",Q1807003,Lord Advocate,1979-01-01T00:00:00Z,1984-01-01T00:00:00Z,,,,Q7365023,"Ronald King Murray, Lord Murray",Q1738844,"Kenneth Cameron, Baron Cameron of Lochbroom",,,,,,Q6581097,male,1927-07-02T00:00:00Z,11,Q336480-0FA2F4DC-7608-4551-8655-558E889E03B7
Q6139888,"James Moncreiff, 1st Baron Moncreiff",Q1807003,Lord Advocate,1851-04-08T00:00:00Z,1852-01-01T00:00:00Z,,,,,,,,,,https://www.thegazette.co.uk/London/issue/21199/page/981,,,Q6581097,male,1811-11-29T00:00:00Z,11,Q6139888-debb9ed2-4b06-d369-6c8d-536805ceb52c
Q6139888,"James Moncreiff, 1st Baron Moncreiff",Q1807003,Lord Advocate,1852-01-01T00:00:00Z,1858-01-01T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1811-11-29T00:00:00Z,11,Q6139888-329cc299-4014-9e20-9f92-8f281f97a930
Q6139888,"James Moncreiff, 1st Baron Moncreiff",Q1807003,Lord Advocate,1859-01-01T00:00:00Z,1866-01-01T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1811-11-29T00:00:00Z,11,Q6139888-92cf2008-4b6a-6d05-648a-1773e6544a2f
Q6139888,"James Moncreiff, 1st Baron Moncreiff",Q1807003,Lord Advocate,1868-01-01T00:00:00Z,1869-01-01T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1811-11-29T00:00:00Z,11,Q6139888-48fc22f3-4013-07e2-5c76-41256bb598c4
Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q5015480,Cabinet Secretary for Justice,1999-05-19T00:00:00Z,2003-05-21T00:00:00Z,,,,,,Q727460,Cathy Jamieson,,,,,,Q6581097,male,1954-08-25T00:00:00Z,11,Q333807-6F2A3D73-1F24-4EA0-9491-835100B84B83
Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q5261035,Deputy First Minister of Scotland,1999-05-19T00:00:00Z,2005-06-23T00:00:00Z,,,,,,Q333630,"Nicol Stephen, Baron Stephen",,,,,,Q6581097,male,1954-08-25T00:00:00Z,11,Q333807-14F6D074-8CBB-4F07-8D52-8DC927400FA2
Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q1362216,First Minister of Scotland,2000-10-11T00:00:00Z,2000-10-26T00:00:00Z,,,,Q333158,Donald Dewar,Q333820,Henry McLeish,Q4676846,acting,,,,Q6581097,male,1954-08-25T00:00:00Z,11,Q333807-4a5d1230-4137-df6c-6b63-3ccf414b20f4
Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q1362216,First Minister of Scotland,2001-11-08T00:00:00Z,2001-11-22T00:00:00Z,,,,Q333820,Henry McLeish,Q132040,Jack McConnell,Q4676846,acting,,,,Q6581097,male,1954-08-25T00:00:00Z,11,Q333807-4C057FF4-13D9-4332-BF5E-95B5277D6210
Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q6865814,Minister for Enterprise and Lifelong Learning,2003-05-21T00:00:00Z,2005-06-27T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q1421398,Iain Gray,Q333630,"Nicol Stephen, Baron Stephen",,,,,,Q6581097,male,1954-08-25T00:00:00Z,11,Q333807-6B1FCCBB-C082-4A56-8B0B-0B2E1BEC255F
Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q30770915,Minister for Justice,1999-05-19T00:00:00Z,2003-05-21T00:00:00Z,,,,,,Q727460,Cathy Jamieson,,,,,,Q6581097,male,1954-08-25T00:00:00Z,11,Q333807-9F13E009-C6BF-4E66-B9E7-415F83DC4BB0
Q1612012,Joe FitzPatrick,Q16933965,Minister for Parliamentary Business,2012-09-05T00:00:00Z,2018-06-26T00:00:00Z,,,,,,Q1349075,Graeme Dey,,,,,,Q6581097,male,1967-04-01T00:00:00Z,11,Q1612012-49cb3c0c-468c-3dcc-8e9c-eb93efa21c5f
Q1612012,Joe FitzPatrick,Q6865944,Minister for Public Health,2018-06-26T00:00:00Z,2020-12-18T00:00:00Z,,,,Q405017,Aileen Campbell,Q24014894,Mairi Gougeon,,,,,,Q6581097,male,1967-04-01T00:00:00Z,11,Q1612012-6df6e700-4b75-a045-b20a-54edeba004df
Q6240785,John Inglis,Q1807003,Lord Advocate,1852-05-01T00:00:00Z,1852-12-01T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1810-08-21T00:00:00Z,11,Q6240785-be759620-4892-9172-47b1-af81ab8fd94b
Q6240785,John Inglis,Q1807003,Lord Advocate,1858-03-01T00:00:00Z,1858-07-09T00:00:00Z,,,,,,,,,,https://www.thegazette.co.uk/London/issue/22106/page/1207,,,Q6581097,male,1810-08-21T00:00:00Z,11,Q6240785-fa4ee77e-417f-2415-7330-5773210af894
Q6240785,John Inglis,Q1807003,Lord Advocate,1858-03-01T00:00:00Z,1858-07-09T00:00:00Z,,,,,,,,,,https://www.thegazette.co.uk/London/issue/22161/page/3249,,,Q6581097,male,1810-08-21T00:00:00Z,11,Q6240785-fa4ee77e-417f-2415-7330-5773210af894
Q6248044,John McLaren,Q1807003,Lord Advocate,1880-05-05T00:00:00Z,1881-08-15T00:00:00Z,,,,,,,,,,https://www.thegazette.co.uk/London/issue/24842/page/2915,,,Q6581097,male,1831-08-17T00:00:00Z,11,Q6248044-8cac7217-416d-6aaf-d23e-dd420056f529
Q6248044,John McLaren,Q1807003,Lord Advocate,1880-05-05T00:00:00Z,1881-08-15T00:00:00Z,,,,,,,,,,https://www.thegazette.co.uk/London/issue/25005/page/4239,,,Q6581097,male,1831-08-17T00:00:00Z,11,Q6248044-8cac7217-416d-6aaf-d23e-dd420056f529
Q333811,John Swinney,Q106906212,Cabinet Secretary for Covid Recovery,2021-05-18T00:00:00Z,,,,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,John Swinney,Cabinet Secretary for Covid Recovery,Q6581097,male,1964-04-13T00:00:00Z,11,Q333811-34686207-4840-e3e2-7c91-7ff889ef6cb1
Q333811,John Swinney,Q30762640,Cabinet Secretary for Education and Skills,2016-05-18T00:00:00Z,2021-05-18T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,,,Q2279359,Shirley-Anne Somerville,,,,,,Q6581097,male,1964-04-13T00:00:00Z,11,Q333811-aee6edc2-4ced-fbfe-0d72-a2621fd92fbf
Q333811,John Swinney,Q30879247,Cabinet Secretary for Finance and Sustainable Growth,2007-05-17T00:00:00Z,2011-05-19T00:00:00Z,Q3112446,Government of the 3rd Scottish Parliament,,,,,,,,,,,Q6581097,male,1964-04-13T00:00:00Z,11,Q333811-b1f95f35-4522-ff9f-bfd4-9c5ea8076e8b
Q333811,John Swinney,Q30879924,"Cabinet Secretary for Finance, Constitution and Economy",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581097,male,1964-04-13T00:00:00Z,11,Q333811-c757da0a-4094-6f12-2a5d-f0bd8218f303
Q333811,John Swinney,Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",2007-05-17T00:00:00Z,2016-05-18T00:00:00Z,,,,Q7816757,Tom McCabe,Q1200058,Derek Mackay,,,,,,Q6581097,male,1964-04-13T00:00:00Z,11,Q333811-3926C006-89B6-4B03-9182-75B96FF54C3B
