item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,gender,genderLabel,dob,dobPrecision,psid
Q333811,John Swinney,Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",2011-05-19T00:00:00Z,2014-11-19T00:00:00Z,Q2577077,Second Salmond ministry,,,,,,,,,,,Q6581097,male,1964-04-13T00:00:00Z,11,Q333811-19f8a395-42d7-c154-1db8-80a51e97db94
Q333811,John Swinney,Q5261035,Deputy First Minister of Scotland,2014-11-21T00:00:00Z,,,,,Q467112,Nicola Sturgeon,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,John Swinney,Deputy First Minister,Q6581097,male,1964-04-13T00:00:00Z,11,Q333811-C51D9B28-1347-425A-B9E6-30C2B394BB40
Q24039479,Kate Forbes,Q107694344,Cabinet Secretary for Finance and the Economy,2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581072,female,1990-04-06T00:00:00Z,11,Q24039479-1298F44F-6AE0-43BC-BBF8-11CFA889487F
Q1738042,Keith Brown,Q24197309,"Cabinet Secretary for Economy, Jobs and Fair Work",2016-05-18T00:00:00Z,2018-06-26T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,,,,,,,,,,Q6581097,male,1961-12-20T00:00:00Z,11,Q1738042-892da8ac-45d4-557d-461b-0994ae3ea47e
Q1738042,Keith Brown,Q5015479,"Cabinet Secretary for Infrastructure, Investment and Cities",2014-11-21T00:00:00Z,2016-05-05T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581097,male,1961-12-20T00:00:00Z,11,Q1738042-BE8AD649-7071-4F5B-9A0B-7B86FA432F86
Q1738042,Keith Brown,Q107694363,Cabinet Secretary for Justice and Veterans,2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581097,male,1961-12-20T00:00:00Z,11,Q1738042-FA8EF35D-ADD8-476C-9F88-67C2EBE3B5BE
Q1738042,Keith Brown,Q6865911,"Minister for Further Education, Higher Education and Science",2009-02-12T00:00:00Z,2010-01-18T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1961-12-20T00:00:00Z,11,Q1738042-84536735-4824-bbea-0871-2b5f8c9e36cf
Q1738042,Keith Brown,Q6865911,"Minister for Further Education, Higher Education and Science",2010-01-18T00:00:00Z,2010-12-12T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1961-12-20T00:00:00Z,11,Q1738042-493b9b92-4945-91ae-e494-6bf9cb0892b6
Q1738042,Keith Brown,Q6865983,Minister for Transport and Veterans,,,,,,,,,,,,,,,Q6581097,male,1961-12-20T00:00:00Z,11,Q1738042-7E7E9465-FF18-43AE-B237-B4E4AEF778F6
Q983174,Kenny MacAskill,Q5015480,Cabinet Secretary for Justice,2007-05-17T00:00:00Z,2014-11-19T00:00:00Z,Q2577077,Second Salmond ministry,,Q727460,Cathy Jamieson,Q121780,Michael Matheson,,,,,,Q6581097,male,1958-04-28T00:00:00Z,11,Q983174-BE50C752-4778-4CC1-BE5B-8C783B7DC2D4
Q983174,Kenny MacAskill,Q5015480,Cabinet Secretary for Justice,2007-05-17T00:00:00Z,2014-11-19T00:00:00Z,Q3112446,Government of the 3rd Scottish Parliament,,Q727460,Cathy Jamieson,Q121780,Michael Matheson,,,,,,Q6581097,male,1958-04-28T00:00:00Z,11,Q983174-BE50C752-4778-4CC1-BE5B-8C783B7DC2D4
Q467097,Linda Fabiani,Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs",2007-05-17T00:00:00Z,2009-02-12T00:00:00Z,,,,Q2057182,Patricia Ferguson,Q1929110,Michael Russell,,,,,,Q6581072,female,1956-12-14T00:00:00Z,11,Q467097-49C29F56-E12D-44BB-8549-2EC182E207A6
Q24014894,Mairi Gougeon,Q107694337,Cabinet Secretary for Rural Affairs and Islands,2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581072,female,1985-04-23T00:00:00Z,11,Q24014894-B5C571D2-F2CC-4367-9FEE-C1136DA2A6F6
Q1886983,Malcolm Chisholm,Q30868809,Minister for Communities,2004-10-04T00:00:00Z,2006-12-23T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q291748,Margaret Curran,Q544064,Rhona Brankin,,,http://news.bbc.co.uk/1/hi/scotland/6201737.stm,,,Q6581097,male,1949-03-07T00:00:00Z,11,Q1886983-5e83f002-4c20-3f0b-b4e4-3aaa8c4dc73e
Q1886983,Malcolm Chisholm,Q30768665,Minister for Health and Community Care,2001-11-22T00:00:00Z,2003-03-27T00:00:00Z,Q3112282,First McConnell ministry,,,,,,,,,,,Q6581097,male,1949-03-07T00:00:00Z,11,Q1886983-4f70aa6c-455d-1dc3-c678-cc6583ed3cb0
Q1886983,Malcolm Chisholm,Q30768665,Minister for Health and Community Care,2003-05-20T00:00:00Z,2004-10-06T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,Q526409,Andy Kerr,,,,,,Q6581097,male,1949-03-07T00:00:00Z,11,Q1886983-7df80eb7-4879-396d-eb92-d7e81c37c721
Q289184,Margaret Burgess,Q6865870,Minister for Housing and Welfare,2012-09-05T00:00:00Z,2016-05-18T00:00:00Z,,,,Q1738042,Keith Brown,,,,,,,,Q6581072,female,1949-12-07T00:00:00Z,11,Q289184-85ba607f-43ab-31e8-dc23-c5d959e98fba
Q291748,Margaret Curran,Q30868809,Minister for Communities,2003-05-21T00:00:00Z,2004-10-04T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,Q1886983,Malcolm Chisholm,,,,,,Q6581072,female,1958-11-24T00:00:00Z,11,Q291748-60841f58-4381-9de0-24d5-bfe019297ef7
Q291748,Margaret Curran,Q30777136,Minister for Parliament,2004-10-04T00:00:00Z,2007-05-17T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q2057182,Patricia Ferguson,,,,,,,,Q6581072,female,1958-11-24T00:00:00Z,11,Q291748-bd341318-40ac-82b1-1e40-66c25399f133
Q291748,Margaret Curran,Q30779962,Minister for Social Justice,2002-05-09T00:00:00Z,2003-05-21T00:00:00Z,Q3112282,First McConnell ministry,,Q1421398,Iain Gray,,,,,,,,Q6581072,female,1958-11-24T00:00:00Z,11,Q291748-0bf57baf-41eb-7c39-379e-70771472204c
Q540381,Maureen Watt,Q6865911,"Minister for Further Education, Higher Education and Science",2007-05-17T00:00:00Z,2009-02-10T00:00:00Z,,,,,,,,,,,,,Q6581072,female,1951-06-23T00:00:00Z,11,Q540381-F09ACD13-C165-4151-8E5D-70C7473230B4
Q540381,Maureen Watt,Q6865944,Minister for Public Health,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,,,,Q121780,Michael Matheson,Q405017,Aileen Campbell,,,,,,Q6581072,female,1951-06-23T00:00:00Z,11,Q540381-6a60b7f1-4d0c-be13-807d-de234bb25175
Q540381,Maureen Watt,Q18760239,"Minister for Sport, Health Improvement and Mental Health",2016-05-18T00:00:00Z,2018-06-27T00:00:00Z,,,,,,,,,,,,,Q6581072,female,1951-06-23T00:00:00Z,11,Q540381-1659A8AF-6778-4B0F-987D-E267B74C5066
Q121780,Michael Matheson,Q5015480,Cabinet Secretary for Justice,2014-11-21T00:00:00Z,2018-06-26T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581097,male,1970-09-08T00:00:00Z,11,Q121780-356344a0-46b4-20da-edc0-c28c6a80a7b5
Q121780,Michael Matheson,Q5015480,Cabinet Secretary for Justice,2014-11-21T00:00:00Z,2018-06-26T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,,,,,,,,,,Q6581097,male,1970-09-08T00:00:00Z,11,Q121780-356344a0-46b4-20da-edc0-c28c6a80a7b5
Q121780,Michael Matheson,Q107694359,"Cabinet Secretary for Net Zero, Energy and Transport",2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581097,male,1970-09-08T00:00:00Z,11,Q121780-129C3F01-275B-4D10-8854-700153B080C1
Q121780,Michael Matheson,Q6865944,Minister for Public Health,2011-05-20T00:00:00Z,2014-11-21T00:00:00Z,,,,,,,,,,,,,Q6581097,male,1970-09-08T00:00:00Z,11,Q121780-DD29F501-D34A-4266-949F-7A03691EE54E
Q1929110,Michael Russell,Q5015475,Cabinet Secretary for Education and Lifelong Learning,2009-12-01T00:00:00Z,2014-11-19T00:00:00Z,Q2577077,Second Salmond ministry,,Q1418512,Fiona Hyslop,Q524077,Angela Constance,,,,,,Q6581097,male,1953-08-09T00:00:00Z,11,Q1929110-6FE73A8F-88B8-4145-B1F9-62127DAA57D4
Q1929110,Michael Russell,Q5015475,Cabinet Secretary for Education and Lifelong Learning,2009-12-01T00:00:00Z,2014-11-19T00:00:00Z,Q3112446,Government of the 3rd Scottish Parliament,,Q1418512,Fiona Hyslop,Q524077,Angela Constance,,,,,,Q6581097,male,1953-08-09T00:00:00Z,11,Q1929110-6FE73A8F-88B8-4145-B1F9-62127DAA57D4
Q1929744,"Mike Watson, Baron Watson of Invergowrie",Q30864563,Minister for Culture and Sport,2001-11-22T00:00:00Z,2003-03-27T00:00:00Z,Q3112282,First McConnell ministry,,,,,,,,,,,Q6581097,male,1949-05-01T00:00:00Z,11,Q1929744-6e585d56-4155-f335-f033-b505035a01ef
Q333630,"Nicol Stephen, Baron Stephen",Q5261035,Deputy First Minister of Scotland,2005-06-27T00:00:00Z,2007-05-17T00:00:00Z,,,,Q333807,"Jim Wallace, Baron Wallace of Tankerness",Q467112,Nicola Sturgeon,,,,,,Q6581097,male,1960-03-23T00:00:00Z,11,Q333630-7A1F05CE-01F8-41DC-83EB-09E6709E97B1
Q333630,"Nicol Stephen, Baron Stephen",Q6865814,Minister for Enterprise and Lifelong Learning,2005-06-27T00:00:00Z,2007-05-17T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,,,,,,,,Q6581097,male,1960-03-23T00:00:00Z,11,Q333630-7D2A96C6-1270-4875-8852-B9BA48C16BF7
Q333630,"Nicol Stephen, Baron Stephen",Q30869794,Minister for Transport and Telecommunications,2003-05-20T00:00:00Z,2005-06-23T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,,,,,,,,Q6581097,male,1960-03-23T00:00:00Z,11,Q333630-0662c802-4e0b-458d-47eb-814655bed1be
Q467112,Nicola Sturgeon,Q16148216,Cabinet Secretary for Health and Wellbeing,2007-05-17T00:00:00Z,2011-05-19T00:00:00Z,Q3112446,Government of the 3rd Scottish Parliament,,Q526409,Andy Kerr,,,,,,,,Q6581072,female,1970-07-19T00:00:00Z,11,Q467112-BD8573FB-2D8D-4420-8873-193BC1FB39FD
Q467112,Nicola Sturgeon,Q30885996,"Cabinet Secretary for Health, Wellbeing and Cities Strategy",2011-05-19T00:00:00Z,2012-09-05T00:00:00Z,Q2577077,Second Salmond ministry,,,,,,,,,,,Q6581072,female,1970-07-19T00:00:00Z,11,Q467112-bbe4fae8-45f0-9b1f-b9ab-1413d19b9493
Q467112,Nicola Sturgeon,Q5015479,"Cabinet Secretary for Infrastructure, Investment and Cities",2012-09-05T00:00:00Z,2014-11-19T00:00:00Z,Q2577077,Second Salmond ministry,,Q1515752,Alex Neil,Q1738042,Keith Brown,,,,,,Q6581072,female,1970-07-19T00:00:00Z,11,Q467112-6F65A13F-DF50-4AD4-A4BF-58984A2D4D53
Q467112,Nicola Sturgeon,Q5261035,Deputy First Minister of Scotland,2007-05-17T00:00:00Z,2014-11-19T00:00:00Z,,,,Q333630,"Nicol Stephen, Baron Stephen",Q333811,John Swinney,,,,,,Q6581072,female,1970-07-19T00:00:00Z,11,Q467112-825C8003-27DE-4204-A71B-B990F3500329
Q467112,Nicola Sturgeon,Q1362216,First Minister of Scotland,2014-11-20T00:00:00Z,,,,5,Q10652,Alex Salmond,,,,,http://www.bbc.com/news/uk-scotland-scotland-politics-20181669,,,Q6581072,female,1970-07-19T00:00:00Z,11,Q467112-81362a61-419c-4899-f829-7ac6b437ac12
Q467112,Nicola Sturgeon,Q1362216,First Minister of Scotland,2014-11-20T00:00:00Z,,,,5,Q10652,Alex Salmond,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,Nicola Sturgeon,First Minister,Q6581072,female,1970-07-19T00:00:00Z,11,Q467112-81362a61-419c-4899-f829-7ac6b437ac12
Q2057182,Patricia Ferguson,Q30777136,Minister for Parliament,2001-11-22T00:00:00Z,2003-05-20T00:00:00Z,Q3112282,First McConnell ministry,,,,,,,,,,,Q6581072,female,1958-09-24T00:00:00Z,11,Q2057182-81edd2b2-4df6-8218-6c74-c7dc447e16c7
Q2057182,Patricia Ferguson,Q30777136,Minister for Parliament,2003-05-20T00:00:00Z,2004-10-04T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,Q291748,Margaret Curran,,,,,,Q6581072,female,1958-09-24T00:00:00Z,11,Q2057182-0bf545e0-47d7-1224-1824-928f4f8101da
Q2057182,Patricia Ferguson,Q30868914,"Minister for Tourism, Culture and Sport",2004-10-04T00:00:00Z,2007-02-19T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q1443752,Frank McAveety,,,,,,,,Q6581072,female,1958-09-24T00:00:00Z,11,Q2057182-330a21ce-4c6f-f14d-f57f-6df2ed0e87f4
Q2074969,"Peter Fraser, Baron Fraser of Carmyllie",Q1807003,Lord Advocate,,,,,,,,,,,,,,,Q6581097,male,1945-05-29T00:00:00Z,11,Q2074969-1A9DEE9D-5817-4ED2-8AF2-737A99B90C85
Q2077496,Peter Peacock,Q30864059,Minister for Education and Young People,2003-05-20T00:00:00Z,2006-11-14T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q727460,Cathy Jamieson,Q5931093,Hugh Henry,,,,,,Q6581097,male,1952-05-27T00:00:00Z,11,Q2077496-916739d2-40b8-9502-5fb2-5837620802c5
Q544064,Rhona Brankin,Q30868809,Minister for Communities,2007-01-09T00:00:00Z,2007-05-16T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,Q1886983,Malcolm Chisholm,,,,,http://news.bbc.co.uk/1/hi/scotland/6244653.stm,,,Q6581072,female,1950-01-19T00:00:00Z,11,Q544064-dfc8e4b2-4a90-8375-2a5f-3e39822eef81
Q1490268,Richard Lochhead,Q1173947,Cabinet Secretary for Rural Affairs and the Environment,2007-05-17T00:00:00Z,2011-05-18T00:00:00Z,Q3112446,Government of the 3rd Scottish Parliament,,Q2167587,Ross Finnie,,,,,,,,Q6581097,male,1969-05-24T00:00:00Z,11,Q1490268-7FDEE801-C878-4C36-AC9F-40BA25033693
Q1490268,Richard Lochhead,Q1173947,Cabinet Secretary for Rural Affairs and the Environment,2011-05-18T00:00:00Z,2014-11-21T00:00:00Z,Q2577077,Second Salmond ministry,,,,,,,,,,,Q6581097,male,1969-05-24T00:00:00Z,11,Q1490268-d676a050-4b9d-cbc0-2cb2-da9fad748aff
Q1490268,Richard Lochhead,Q30914031,"Cabinet Secretary for Rural Affairs, Food and Environment",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581097,male,1969-05-24T00:00:00Z,11,Q1490268-bcd0ae1b-4d8d-e40f-26a5-b00ddbab421e
Q333953,Roseanna Cunningham,Q30763119,"Cabinet Secretary for Environment, Climate Change and Land Reform",2016-05-18T00:00:00Z,2021-05-20T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,Q405025,Aileen McLeod,,,,,,,,Q6581072,female,1951-07-27T00:00:00Z,11,Q333953-9b6115a4-4386-e496-7dd4-fb8beb87def9
Q333953,Roseanna Cunningham,Q6865992,"Cabinet Secretary for Fair Work, Skills and Training",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,Q524077,Angela Constance,,,,,,,,Q6581072,female,1951-07-27T00:00:00Z,11,Q333953-A5EC617A-DC05-451E-BD62-8B4396DB23FA
Q333953,Roseanna Cunningham,Q6865773,Minister for Community Safety and Legal Affairs,2011-05-25T00:00:00Z,2014-11-21T00:00:00Z,,,,Q559022,Fergus Ewing,,,,,,,,Q6581072,female,1951-07-27T00:00:00Z,11,Q333953-0144A431-2A8B-4BE9-8EDC-2FBFD9BBC7A6
Q2167587,Ross Finnie,Q30777876,Minister for Environment and Rural Development,2001-03-01T00:00:00Z,2001-11-08T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581097,male,1947-02-11T00:00:00Z,11,Q2167587-5625af56-4995-30fa-fc50-2286e75f587a
Q2167587,Ross Finnie,Q30777876,Minister for Environment and Rural Development,2001-11-22T00:00:00Z,2003-03-27T00:00:00Z,Q3112282,First McConnell ministry,,,,,,,,,,,Q6581097,male,1947-02-11T00:00:00Z,11,Q2167587-59cf39dc-48ad-9f7b-4be7-353f93020f0c
Q2167587,Ross Finnie,Q30777876,Minister for Environment and Rural Development,2003-05-20T00:00:00Z,2007-05-16T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,,,,,,,,Q6581097,male,1947-02-11T00:00:00Z,11,Q2167587-9c2af7b3-4901-fd25-e475-e1ac12f9a238
Q2167587,Ross Finnie,Q30769027,Minister for Rural Affairs,1999-05-19T00:00:00Z,2000-10-11T00:00:00Z,Q3112009,Dewar ministry,,,,,,,,,,,Q6581097,male,1947-02-11T00:00:00Z,11,Q2167587-e9630188-4757-a8c5-390f-7d09bc5cefb5
Q2167587,Ross Finnie,Q30777441,Minister for Rural Development,2000-10-27T00:00:00Z,2001-03-01T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581097,male,1947-02-11T00:00:00Z,11,Q2167587-a2e7cb5a-4c71-69b3-c5d3-7a83d92eac71
Q2216457,Sam Galbraith,Q30767816,Minister for Children and Education,1999-05-17T00:00:00Z,2000-10-11T00:00:00Z,Q3112009,Dewar ministry,,,,,,,,,,,Q6581097,male,1945-10-18T00:00:00Z,11,Q2216457-402cc4f9-4df9-dd21-b263-8d384b279721
Q2216457,Sam Galbraith,Q30776055,"Minister for Environment, Sport and Culture",2000-10-27T00:00:00Z,2001-03-01T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581097,male,1945-10-18T00:00:00Z,11,Q2216457-8c771bdc-4d94-1a46-a976-8e279c52f759
Q544089,Sarah Boyack,Q30778783,Minister for Transport and Planning,2001-03-01T00:00:00Z,2001-11-08T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581072,female,1961-05-16T00:00:00Z,11,Q544089-db4d43a2-4b8a-0448-6791-e93c454a9c31
Q544089,Sarah Boyack,Q30778119,Minister for Transport and Telecommunications,2000-10-27T00:00:00Z,2001-03-01T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581072,female,1961-05-16T00:00:00Z,11,Q544089-e1bc0b04-43c8-6c72-476c-3f51bd640bca
Q544089,Sarah Boyack,Q30769264,Minister for Transport and the Environment,1999-05-17T00:00:00Z,2000-10-11T00:00:00Z,Q3112009,Dewar ministry,,,,,,,,,,,Q6581072,female,1961-05-16T00:00:00Z,11,Q544089-60ac6fa4-46f2-ce17-e207-26e5b36c285c
Q2279359,Shirley-Anne Somerville,Q30762640,Cabinet Secretary for Education and Skills,2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581072,female,1974-09-02T00:00:00Z,11,Q2279359-729FB213-37D8-4D61-B9D2-2984A919329C
Q444675,Shona Robison,Q30910022,"Cabinet Secretary for Commonwealth Games, Sport, Equalities and Pensioners' Rights",2014-04-22T00:00:00Z,2014-11-21T00:00:00Z,Q2577077,Second Salmond ministry,,,,,,,,,,,Q6581072,female,1966-05-26T00:00:00Z,11,Q444675-B3A6E120-56DA-413C-8AF8-D6977AD830AA
Q444675,Shona Robison,Q30762929,Cabinet Secretary for Health and Sport,2016-05-18T00:00:00Z,2018-06-26T00:00:00Z,Q24083746,Government of the 5th Scottish Parliament,,,,,,,,,,,Q6581072,female,1966-05-26T00:00:00Z,11,Q444675-d50aab91-4b1e-27d2-e8a7-2ab94db94978
Q444675,Shona Robison,Q30886128,"Cabinet Secretary for Health, Wellbeing and Sport",2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q22120071,First Sturgeon ministry,,,,,,,,,,,Q6581072,female,1966-05-26T00:00:00Z,11,Q444675-9b7d7a8f-41a7-cccf-a18a-1780fe555e90
Q444675,Shona Robison,Q107694357,"Cabinet Secretary for Social Justice, Housing and Local Government",2021-05-18T00:00:00Z,,Q106906168,Government of the 6th Scottish Parliament,,,,,,,,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,,,Q6581072,female,1966-05-26T00:00:00Z,11,Q444675-5F83C462-1D1C-4581-8DD0-697D12AB893C
Q1710696,Stewart Maxwell,Q6865870,Minister for Housing and Welfare,,,,,,,,,,,,,,,Q6581097,male,1963-12-24T00:00:00Z,11,Q1710696-177CB8C9-CD68-4C1A-8A2A-51040EEE0ECC
Q559613,Stewart Stevenson,Q30763119,"Cabinet Secretary for Environment, Climate Change and Land Reform",2011-05-25T00:00:00Z,2012-09-06T00:00:00Z,,,,Q333953,Roseanna Cunningham,Q2063093,Paul Wheelhouse,,,,,,Q6581097,male,1946-10-15T00:00:00Z,11,Q559613-1727B218-509F-45EA-B2B0-CB597FB7B2F1
Q559613,Stewart Stevenson,Q6865983,Minister for Transport and Veterans,2007-05-17T00:00:00Z,2010-12-11T00:00:00Z,,,,Q1339371,Tavish Scott,Q1738042,Keith Brown,,,,,,Q6581097,male,1946-10-15T00:00:00Z,11,Q559613-BFC828A9-6AEC-40B4-B153-EAE177B18B43
Q544755,Susan Deacon,Q30768665,Minister for Health and Community Care,1999-05-17T00:00:00Z,2000-10-11T00:00:00Z,Q3112009,Dewar ministry,,,,,,,,,,,Q6581072,female,1964-02-02T00:00:00Z,11,Q544755-ca7d25a1-40b2-9692-63ec-c37d4a6b52a8
Q544755,Susan Deacon,Q30768665,Minister for Health and Community Care,2000-10-27T00:00:00Z,2001-11-08T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581072,female,1964-02-02T00:00:00Z,11,Q544755-f0d8b41b-4d14-cf01-53c5-4e2aa54d2b45
Q1339371,Tavish Scott,Q30869200,Minister for Transport,2006-01-30T00:00:00Z,2007-05-17T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,,,,,,,,Q6581097,male,1966-05-06T00:00:00Z,11,Q1339371-f2c25f57-44c6-9ec8-3ace-df147075f13a
Q1339371,Tavish Scott,Q30869794,Minister for Transport and Telecommunications,2005-06-29T00:00:00Z,2006-01-29T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,,,,,,,,Q6581097,male,1966-05-06T00:00:00Z,11,Q1339371-f204ddfc-42ef-2343-c496-0bd2d04adfb9
Q7816757,Tom McCabe,Q30768793,Chief Whip and Government Business Manager,1999-05-17T00:00:00Z,2000-10-11T00:00:00Z,Q3112009,Dewar ministry,,,,,,,,,,,Q6581097,male,1954-04-28T00:00:00Z,11,Q7816757-d0a15219-4e6d-b2c2-1bf6-6bebed8d4791
Q7816757,Tom McCabe,Q30878519,Minister for Finance and Public Service Reform,2004-10-04T00:00:00Z,2007-05-16T00:00:00Z,Q3112288,Government of the 2nd Scottish Parliament,,,,,,,,,,,Q6581097,male,1954-04-28T00:00:00Z,11,Q7816757-9f91dbf3-4013-321f-0d9b-97086cdd0c02
Q7816757,Tom McCabe,Q30777136,Minister for Parliament,2000-10-27T00:00:00Z,2001-11-08T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581097,male,1954-04-28T00:00:00Z,11,Q7816757-89cc056e-45b6-28dc-a774-6d4192530983
Q511689,Wendy Alexander,Q6865814,Minister for Enterprise and Lifelong Learning,2000-10-27T00:00:00Z,2001-11-08T00:00:00Z,Q3112283,McLeish ministry,,,,,,,,,,,Q6581072,female,1963-06-27T00:00:00Z,11,Q511689-cee4e050-450c-7868-8898-d7b1270b3eaa
Q511689,Wendy Alexander,Q6865814,Minister for Enterprise and Lifelong Learning,2000-11-01T00:00:00Z,2001-11-28T00:00:00Z,,,,Q1421398,Iain Gray,,,,,,,,Q6581072,female,1963-06-27T00:00:00Z,11,Q511689-63CD4D15-6655-4664-AFD1-4AAA168D1E75
Q511689,Wendy Alexander,Q6865814,Minister for Enterprise and Lifelong Learning,2001-11-28T00:00:00Z,2002-05-03T00:00:00Z,,,,,,Q1421398,Iain Gray,,,,,,Q6581072,female,1963-06-27T00:00:00Z,11,Q511689-ACA18794-27A5-4102-9350-EE625BDE60F5
Q511689,Wendy Alexander,Q30864358,"Minister for Enterprise, Transport and Lifelong Learning",2001-11-28T00:00:00Z,2002-05-03T00:00:00Z,Q3112282,First McConnell ministry,,Q1421398,Iain Gray,Q1421398,Iain Gray,,,,,,Q6581072,female,1963-06-27T00:00:00Z,11,Q511689-9C1B4B30-9705-4534-8822-B86A0F970F5D
Q511689,Wendy Alexander,Q6865870,Minister for Housing and Welfare,1999-05-19T00:00:00Z,2000-11-01T00:00:00Z,,,,,,,,,,,,,Q6581072,female,1963-06-27T00:00:00Z,11,Q511689-91013BFB-B9CE-4575-8A47-7923207495FE
Q511689,Wendy Alexander,Q30768016,"Minister for Social Inclusion, Local Government and Housing",1999-05-19T00:00:00Z,2000-10-11T00:00:00Z,Q3112009,Dewar ministry,,,,,,,,,,,Q6581072,female,1963-06-27T00:00:00Z,11,Q511689-5DFCAEB2-A8CC-4644-B695-DDAA52AB81C6
Q1766037,William Watson,Q1807003,Lord Advocate,,,,,,,,,,,,,,,Q6581097,male,1828-01-01T00:00:00Z,9,Q1766037-C17A4DE9-E3A2-4D1A-BE5F-C8AA7004B6C9
Q1766037,William Watson,Q1807003,Lord Advocate,,,,,,,,,,,,,,,Q6581097,male,1827-08-25T00:00:00Z,11,Q1766037-C17A4DE9-E3A2-4D1A-BE5F-C8AA7004B6C9
